,primary_key,location_code,location,plastics_polymer,plastics_applications,total_waste,total_use
250,OPABioplasticsTransportation - other,OPA,OECD Asia,Bioplastics,Transportation - other,0.001862908,0.002732
251,"OPAABS, ASA, SANTransportation - other",OPA,OECD Asia,"ABS, ASA, SAN",Transportation - other,0.016425064,0.024576
252,OPAMarine coatingsMarine coatings,OPA,OECD Asia,Marine coatings,Marine coatings,7.0459e-05,
253,"OPALDPE, LLDPEIndustrial/machinery",OPA,OECD Asia,"LDPE, LLDPE",Industrial/machinery,4.2091e-05,0.000596
254,OPAHDPEIndustrial/machinery,OPA,OECD Asia,HDPE,Industrial/machinery,3.9507e-05,0.000759
255,OPAPPIndustrial/machinery,OPA,OECD Asia,PP,Industrial/machinery,5.7752e-05,0.000717
256,OPAPURIndustrial/machinery,OPA,OECD Asia,PUR,Industrial/machinery,7.7761e-05,9e-06
257,OPAHDPEPersonal care products,OPA,OECD Asia,HDPE,Personal care products,0.001072006,0.001103
258,OPAPPPersonal care products,OPA,OECD Asia,PP,Personal care products,2.7668e-05,2.8e-05
259,OPAFibresTextile sector - clothing,OPA,OECD Asia,Fibres,Textile sector - clothing,0.780837051,0.911909
260,OPABioplasticsTextile sector - clothing,OPA,OECD Asia,Bioplastics,Textile sector - clothing,0.007015008,0.007892
261,OPAFibresTextile sector - others,OPA,OECD Asia,Fibres,Textile sector - others,0.376603592,0.43991
262,OPARoad marking coatingsRoad marking,OPA,OECD Asia,Road marking coatings,Road marking,0.033246027,0.037835
