"LOCATION","Location","PLASTICS_APPLICATIONS","Plastics applications","PLASTICS_POLYMER","Plastics polymer","Value","Flag Codes","Flags"
"ODA","Other non-OECD Asia","INDUSTRIAL_MACHINERY","Industrial/machinery","PUR","PUR",0.000016,,
"USA1","United States","OTHER","Other","OTHER","Other",6.481506,,
"USA1","United States","OTHER","Other","LDPE_LLDPE","LDPE, LLDPE",1.002331,,
"USA1","United States","OTHER","Other","HDPE","HDPE",0.747683,,
"USA1","United States","OTHER","Other","PS","PS",0.396531,,
"USA1","United States","OTHER","Other","PVC","PVC",1.306193,,
"USA1","United States","OTHER","Other","PUR","PUR",1.094271,,
"USA1","United States","OTHER","Other","FIBERS","Fibres",2.208468,,
"USA1","United States","OTHER","Other","BIOPLASTICS","Bioplastics",0.052928,,
"USA1","United States","OTHER","Other","ABS_ASA_SAN","ABS, ASA, SAN",0.150402,,
"USA1","United States","OTHER","Other","TOTAL","Total",13.440314,,
"USA1","United States","PACKAGING","Packaging","OTHER","Other",0.32223,,
"USA1","United States","PACKAGING","Packaging","LDPE_LLDPE","LDPE, LLDPE",6.971131,,
"USA1","United States","PACKAGING","Packaging","HDPE","HDPE",5.931305,,
"USA1","United States","PACKAGING","Packaging","PP","PP",6.900393,,
"USA1","United States","PACKAGING","Packaging","PS","PS",1.253263,,
"USA1","United States","PACKAGING","Packaging","PVC","PVC",0.763322,,
"USA1","United States","PACKAGING","Packaging","PET","PET",4.680799,,
"USA1","United States","PACKAGING","Packaging","PUR","PUR",0.070743,,
"USA1","United States","PACKAGING","Packaging","BIOPLASTICS","Bioplastics",0.270269,,
"USA1","United States","PACKAGING","Packaging","TOTAL","Total",27.163456,,
"USA1","United States","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","OTHER","Other",0.791553,,
"USA1","United States","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","LDPE_LLDPE","LDPE, LLDPE",1.507973,,
"USA1","United States","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","HDPE","HDPE",1.009262,,
"USA1","United States","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","PP","PP",3.062724,,
"USA1","United States","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","PS","PS",0.99484,,
"USA1","United States","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","PVC","PVC",0.473395,,
"USA1","United States","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","PUR","PUR",0.42154,,
"USA1","United States","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","BIOPLASTICS","Bioplastics",0.032367,,
"USA1","United States","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","ABS_ASA_SAN","ABS, ASA, SAN",0.800749,,
"USA1","United States","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","TOTAL","Total",9.094404,,
"USA1","United States","BUILDING_AND_CONSTRUCTION","Building & construction","OTHER","Other",1.310488,,
"USA1","United States","BUILDING_AND_CONSTRUCTION","Building & construction","LDPE_LLDPE","LDPE, LLDPE",0.442026,,
"USA1","United States","BUILDING_AND_CONSTRUCTION","Building & construction","HDPE","HDPE",1.379379,,
"USA1","United States","BUILDING_AND_CONSTRUCTION","Building & construction","PP","PP",0.709284,,
"USA1","United States","BUILDING_AND_CONSTRUCTION","Building & construction","PS","PS",0.829173,,
"USA1","United States","BUILDING_AND_CONSTRUCTION","Building & construction","PVC","PVC",4.724195,,
"USA1","United States","BUILDING_AND_CONSTRUCTION","Building & construction","PUR","PUR",0.699159,,
"USA1","United States","BUILDING_AND_CONSTRUCTION","Building & construction","BIOPLASTICS","Bioplastics",0.012694,,
"USA1","United States","BUILDING_AND_CONSTRUCTION","Building & construction","ABS_ASA_SAN","ABS, ASA, SAN",0.037472,,
"USA1","United States","BUILDING_AND_CONSTRUCTION","Building & construction","TOTAL","Total",10.143869,,
"USA1","United States","ELECTRICAL_ELECTRONIC","Electrical/electronics","OTHER","Other",1.085969,,
"USA1","United States","ELECTRICAL_ELECTRONIC","Electrical/electronics","LDPE_LLDPE","LDPE, LLDPE",0.291946,,
"USA1","United States","ELECTRICAL_ELECTRONIC","Electrical/electronics","HDPE","HDPE",0.089308,,
"USA1","United States","ELECTRICAL_ELECTRONIC","Electrical/electronics","PP","PP",0.682365,,
"USA1","United States","ELECTRICAL_ELECTRONIC","Electrical/electronics","PS","PS",0.32497,,
"USA1","United States","ELECTRICAL_ELECTRONIC","Electrical/electronics","PVC","PVC",0.280166,,
"USA1","United States","ELECTRICAL_ELECTRONIC","Electrical/electronics","PUR","PUR",0.172144,,
"USA1","United States","ELECTRICAL_ELECTRONIC","Electrical/electronics","BIOPLASTICS","Bioplastics",0.009071,,
"USA1","United States","ELECTRICAL_ELECTRONIC","Electrical/electronics","ABS_ASA_SAN","ABS, ASA, SAN",0.481993,,
"USA1","United States","ELECTRICAL_ELECTRONIC","Electrical/electronics","TOTAL","Total",3.417932,,
"USA1","United States","TRANSPORTATION_-_OTHER","Transportation - other","OTHER","Other",5.279013,,
"USA1","United States","TRANSPORTATION_-_OTHER","Transportation - other","LDPE_LLDPE","LDPE, LLDPE",0.094732,,
"USA1","United States","TRANSPORTATION_-_OTHER","Transportation - other","HDPE","HDPE",0.429155,,
"USA1","United States","TRANSPORTATION_-_OTHER","Transportation - other","PP","PP",1.96916,,
"USA1","United States","TRANSPORTATION_-_OTHER","Transportation - other","PVC","PVC",0.27085,,
"USA1","United States","TRANSPORTATION_-_OTHER","Transportation - other","PUR","PUR",0.635912,,
"USA1","United States","TRANSPORTATION_-_OTHER","Transportation - other","FIBERS","Fibres",1.130396,,
"USA1","United States","TRANSPORTATION_-_OTHER","Transportation - other","BIOPLASTICS","Bioplastics",0.030864,,
"USA1","United States","TRANSPORTATION_-_OTHER","Transportation - other","ABS_ASA_SAN","ABS, ASA, SAN",0.277663,,
"USA1","United States","TRANSPORTATION_-_OTHER","Transportation - other","TOTAL","Total",10.117745,,
"USA1","United States","MARINE_COATINGS","Marine coatings","MARINE_COATINGS","Marine coatings",0.116666,,
"USA1","United States","MARINE_COATINGS","Marine coatings","TOTAL","Total",0.116666,,
"USA1","United States","INDUSTRIAL_MACHINERY","Industrial/machinery","LDPE_LLDPE","LDPE, LLDPE",0.133843,,
"USA1","United States","INDUSTRIAL_MACHINERY","Industrial/machinery","HDPE","HDPE",0.130093,,
"USA1","United States","INDUSTRIAL_MACHINERY","Industrial/machinery","PP","PP",0.182318,,
"USA1","United States","INDUSTRIAL_MACHINERY","Industrial/machinery","PUR","PUR",0.161848,,
"USA1","United States","INDUSTRIAL_MACHINERY","Industrial/machinery","TOTAL","Total",0.608102,,
"USA1","United States","PERSONAL_CARE_PRODUCTS","Personal care products","HDPE","HDPE",0.003398,,
"USA1","United States","PERSONAL_CARE_PRODUCTS","Personal care products","PP","PP",0.000088,,
"USA1","United States","PERSONAL_CARE_PRODUCTS","Personal care products","TOTAL","Total",0.003485,,
"USA1","United States","TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","FIBERS","Fibres",5.429985,,
"USA1","United States","TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","BIOPLASTICS","Bioplastics",0.04885,,
"USA1","United States","TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","TOTAL","Total",5.478835,,
